placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,jueves,viernes,sábado,domingo,lunes,martes,miércoles,imgUrl,isClaimed,latitude,longitude,query,timestamp
"https://www.google.com/maps/place/El+Huarachon+Restaurante/@20.6595249,-103.3894282,11z/data=!4m9!1m3!2m2!1srestaurantes!6e5!3m4!1s0x8428af52e80ced0b:0x975044fdb034f166!8m2!3d20.7502469!4d-103.4019574?hl=es",El Huarachon Restaurante,"5,0",79,Restaurante,Acogedor · Informal · Ideal para niños,"Av Torremolinos 2766, Lomas de Zapopan, 45130 Zapopan, Jal., México","       QH2X+36 Zapopan, Jalisco, México     ",,       +52 33 3021 6625     ,9:00–16:00,9:00–16:00,9:00–16:00,9:00–15:30,9:00–16:00,9:00–16:00,9:00–16:00,https://lh5.googleusercontent.com/p/AF1QipMfvAu1jVSFLqI97_Gr5IeK0MwRQu1Ukqb6Xvw=w408-h306-k-no,false,20.750187499999996,-103.4019375,"https://www.google.com/maps/search/restaurantes/@20.659638,-103.3894277,11z/data=!3m1!4b1!4m2!2m1!6e5",2020-06-04T14:31:08.875Z
"https://www.google.com/maps/place/Laurel+restaurante/@20.6595249,-103.3894282,11z/data=!4m9!1m3!2m2!1srestaurantes!6e5!3m4!1s0x8428afc396a2d14b:0xa7d56aac1534a155!8m2!3d20.7092263!4d-103.3645053?hl=es",Laurel restaurante,"5,0",20,Restaurante,Acogedor · Informal · Ideal para niños,"Av Salto del Agua 2162, Jardines del Country, 44210 Guadalajara, Jal., México","       PJ5P+M5 Guadalajara, Jalisco, México     ",,       +52 33 3749 1813     ,8:00–17:00,8:00–17:00,8:00–16:00,8:00–14:00,Cerrado,8:00–17:00,8:00–17:00,https://lh5.googleusercontent.com/p/AF1QipM3Duh9fg6hQMme7H_qbyLC8NWLFVbVmAc1ByYZ=w408-h544-k-no,false,20.7091875,-103.3645625,"https://www.google.com/maps/search/restaurantes/@20.659638,-103.3894277,11z/data=!3m1!4b1!4m2!2m1!6e5",2020-06-04T14:31:14.280Z
"https://www.google.com/maps/place/Bajo+Fondo+Restaurante+Bar/@20.6595249,-103.3894282,11z/data=!4m9!1m3!2m2!1srestaurantes!6e5!3m4!1s0x8428afb65bccf717:0xdd5ecc3877ff771e!8m2!3d20.682844!4d-103.4456227?hl=es",Bajo Fondo Restaurante Bar,"5,0",54,Restaurante,Acogedor · Informal · Grupos,"Calzada Nte 14, Granja, 45010 Zapopan, Jal., México","       MHM3+4Q Zapopan, Jalisco, México     ",,       +52 33 1588 6749     ,14:00–22:00,14:00–22:00,14:00–22:00,14:00–18:00,Cerrado,14:00–22:00,14:00–22:00,,false,20.682812499999997,-103.44556250000001,"https://www.google.com/maps/search/restaurantes/@20.659638,-103.3894277,11z/data=!3m1!4b1!4m2!2m1!6e5",2020-06-04T14:31:19.481Z
"https://www.google.com/maps/place/Mozzafiato+Restaurante/@20.6595249,-103.3894282,11z/data=!4m9!1m3!2m2!1srestaurantes!6e5!3m4!1s0x8428af4e45e3599f:0x22a6aad0feeb2587!8m2!3d20.692401!4d-103.3771587?hl=es",Mozzafiato Restaurante,"4,9",41,Restaurante,Acogedor · Informal · Ideal para niños,"Calle Florencia 2397, Italia Providencia, 44648 Guadalajara, Jal., México","       MJRF+X4 Guadalajara, Jalisco, México     ",       webnode.mx     ,       +52 33 2466 3946     ,13:00–23:00,13:00–23:30,13:00–23:30,13:00–18:00,13:00–23:00,13:00–23:00,13:00–23:00,https://lh5.googleusercontent.com/p/AF1QipNbVuVLsZf7mzWzF2hH-_vEPzmc904wraSG2lIa=w408-h306-k-no,true,20.69243750000001,-103.37718750000002,"https://www.google.com/maps/search/restaurantes/@20.659638,-103.3894277,11z/data=!3m1!4b1!4m2!2m1!6e5",2020-06-04T14:31:26.210Z
"https://www.google.com/maps/place/Alariz/@20.6595249,-103.3894282,11z/data=!4m9!1m3!2m2!1srestaurantes!6e5!3m4!1s0x8428af7c56baff3d:0x8cfed7c5b968ee9a!8m2!3d23.626578!4d-102.5392137?hl=es",Alariz,"4,9",13,Restaurante,Acogedor · Informal · Grupos,,,,       +52 33 2818 4465     ,,,,,,,,,true,,,"https://www.google.com/maps/search/restaurantes/@20.659638,-103.3894277,11z/data=!3m1!4b1!4m2!2m1!6e5",2020-06-04T14:31:29.377Z
"https://www.google.com/maps/place/Berlins+Bretzel+Wagen+-+Biergarten/@20.6595249,-103.3894282,11z/data=!4m9!1m3!2m2!1srestaurantes!6e5!3m4!1s0x8428afc366996081:0xd79097f7754893f1!8m2!3d20.6686529!4d-103.37239?hl=es",Berlins Bretzel Wagen - Biergarten,"4,9",96,Restaurante alemán,Se sirve comida hasta tarde · Terraza · Acogedor,"Calle Simón Bolívar 445, Col Americana, Obrera, 44150 Guadalajara, Jal., México","       MJ9H+F2 Guadalajara, Jalisco, México     ",       berlins.mx     ,       +52 33 2472 9030     ,13:00–20:00,13:00–20:00,13:00–20:00,Cerrado,Cerrado,13:00–20:00,13:00–20:00,https://lh5.googleusercontent.com/p/AF1QipONslEEAyI7KVgzaCRjuJxW3G8ga4z42OeoW_rZ=w408-h544-k-no,true,20.668687500000004,-103.3724375,"https://www.google.com/maps/search/restaurantes/@20.659638,-103.3894277,11z/data=!3m1!4b1!4m2!2m1!6e5",2020-06-04T14:31:35.416Z
"https://www.google.com/maps/place/Santo+Coyote/@20.6595249,-103.3894282,11z/data=!4m9!1m3!2m2!1srestaurantes!6e5!3m4!1s0x8428ae0c3d8e9b23:0x1b3741c68d85e460!8m2!3d20.6704864!4d-103.3770294?hl=es",Santo Coyote,"4,5",12087,Restaurante mexicano,Se sirve comida hasta tarde · Bufé libre · Desayuno,"Calle Miguel Lerdo de Tejada 2379, Col Americana, Arcos, 44150 Guadalajara, Jal., México","       MJCF+55 Guadalajara, Jalisco, México     ",       santocoyote.com.mx     ,       +52 800 087 0330     ,8:00–24:00,8:00–24:00,8:00–24:00,8:00–24:00,8:00–24:00,8:00–24:00,8:00–24:00,https://lh5.googleusercontent.com/p/AF1QipPzcchZnz9yz81WiEA2wfCxFUq7bNfNSIzYBWTC=w408-h306-k-no,false,20.670437500000006,-103.37706250000001,"https://www.google.com/maps/search/restaurantes/@20.659638,-103.3894277,11z/data=!3m1!4b1!4m2!2m1!6e5",2020-06-04T14:31:38.607Z
"https://www.google.com/maps/place/Restaurante+Italiano+Guadalajara/@20.6595249,-103.3894282,11z/data=!4m9!1m3!2m2!1srestaurantes!6e5!3m4!1s0x8428af5f6e233fcf:0xa3bd644ce2cad5d5!8m2!3d20.6800058!4d-103.3622828?hl=es",Restaurante Italiano Guadalajara,"4,9",98,Restaurante italiano,Happy hour de comida · Acogedor · Grupos,"Calle Reforma 1102-A, Santa Teresita, 44100 Guadalajara, Jal., México","       MJJQ+23 Guadalajara, Jalisco, México     ",       bit.ly     ,       +52 33 1831 9936     ,13:00–22:00,13:00–23:00,13:00–23:00,13:00–21:00,Cerrado,13:00–22:00,13:00–22:00,https://lh5.googleusercontent.com/p/AF1QipPPjCTK_4objOOECxwu_YiEmLQghMFOM0mu4BWw=w408-h544-k-no,true,20.680062500000005,-103.36231250000002,"https://www.google.com/maps/search/restaurantes/@20.659638,-103.3894277,11z/data=!3m1!4b1!4m2!2m1!6e5",2020-06-04T14:31:43.532Z
"https://www.google.com/maps/place/Restaurante+Ofelia+Bistro/@20.6595249,-103.3894282,11z/data=!4m9!1m3!2m2!1srestaurantes!6e5!3m4!1s0x8428ae47f7e72815:0xd9e73a6423f4be85!8m2!3d20.6737918!4d-103.3354131?hl=es",Restaurante Ofelia Bistro,"4,7",610,Restaurante,Se sirve comida hasta tarde · Buenos cócteles · Acogedor,,,       ofeliabistro.com     ,       +52 33 3647 3631     ,13:30–1:00,13:30–1:00,13:30–1:00,Cerrado,13:30–1:00,13:30–1:00,13:30–1:00,https://lh5.googleusercontent.com/p/AF1QipO6e0IHUUuo00lBJuUb4-Y1K8z9H4g6GHZnS4Fu=w408-h306-k-no,false,,,"https://www.google.com/maps/search/restaurantes/@20.659638,-103.3894277,11z/data=!3m1!4b1!4m2!2m1!6e5",2020-06-04T14:31:45.938Z
"https://www.google.com/maps/place/Restaurante+Allium/@20.6595249,-103.3894282,11z/data=!4m9!1m3!2m2!1srestaurantes!6e5!3m4!1s0x8428ae0e4be8ff77:0x401c37bcf4dc36a0!8m2!3d20.673779!4d-103.372831?hl=es",Restaurante Allium,"4,7",438,Restaurante,Buenos cócteles · Acogedor · Grupos,"Calle Manuel López Cotilla 1752, Col Americana, Lafayette, 44150 Guadalajara, Jal., México","       MJFG+GV Guadalajara, Jalisco, México     ",       allium.com.mx     ,       +52 33 3615 6401     ,"13:30–17:00, 19:00–22:30","13:30–17:00, 19:00–23:00","13:30–17:00, 19:00–23:00",13:30–17:00,"13:30–17:00, 19:00–22:30","13:30–17:00, 19:00–22:30","13:30–17:00, 19:00–22:30",https://lh5.googleusercontent.com/p/AF1QipMcXmnS39vUb11pFeV8fgjrMPzNM8PEJc3pJcod=w408-h272-k-no,true,20.673812499999997,-103.3728125,"https://www.google.com/maps/search/restaurantes/@20.659638,-103.3894277,11z/data=!3m1!4b1!4m2!2m1!6e5",2020-06-04T14:31:49.855Z
